"YYQQ","Cook County","Chicago","Suburban Cook"
"1997Q1",79.32,74.46,85.9
"1997Q2",82.08,77.11,88.44
"1997Q3",84.29,80.59,88.83
"1997Q4",85.81,82.93,89.79
"1998Q1",85.81,82.47,90.31
"1998Q2",86.62,83.27,90.57
"1998Q3",87.77,84.75,91.12
"1998Q4",89.21,86.47,92.16
"1999Q1",91.38,89.68,93.14
"1999Q2",92.59,91.08,94.6
"1999Q3",94.57,93.41,96.11
"1999Q4",96.61,95.63,97.91
"2000Q1",100,100,100
"2000Q2",102.18,102.45,101.93
"2000Q3",104.1,104.28,103.9
"2000Q4",106.88,107.75,106.1
"2001Q1",108.14,108.19,108.06
"2001Q2",111.15,111.99,110.24
"2001Q3",113.89,115.05,112.45
"2001Q4",116.02,116.87,115.11
"2002Q1",117.11,117.99,115.88
"2002Q2",121.09,121.74,120.3
"2002Q3",123.18,123.98,122.15
"2002Q4",124.81,126.28,123.29
"2003Q1",128.8,131.02,126.51
"2003Q2",130.76,132.28,129.47
"2003Q3",133.35,134.85,131.85
"2003Q4",136.71,139.2,134.3
"2004Q1",138.88,141.45,136.4
"2004Q2",142.11,145.19,139.03
"2004Q3",146.29,150,142.56
"2004Q4",148.68,151.25,146.4
"2005Q1",153.53,156.1,151.45
"2005Q2",158.2,162.54,153.76
"2005Q3",162.33,166.85,157.73
"2005Q4",165.32,170.62,159.51
"2006Q1",169.41,176,162.3
"2006Q2",170.88,176.1,165.89
"2006Q3",170.85,175.5,166.82
"2006Q4",173.97,179.68,167.7
"2007Q1",172.77,177.23,168.52
"2007Q2",172.78,177.33,169.04
"2007Q3",170.15,175.28,165.25
"2007Q4",167.26,169.94,164.47
"2008Q1",168.91,175.89,161.78
"2008Q2",164.35,173.76,155.13
"2008Q3",158.72,166.27,150.87
"2008Q4",152.59,158.41,146.28
"2009Q1",141.99,146.28,138.33
"2009Q2",134.13,138.35,130.49
"2009Q3",133.56,137.36,130.04
"2009Q4",131.23,134.77,127.51
"2010Q1",127.19,130.26,124.66
"2010Q2",123.61,125.94,122.06
"2010Q3",119.51,122.12,117.82
"2010Q4",117.2,121.17,113.86
"2011Q1",114.09,118.02,110.62
"2011Q2",110.14,113.98,106.76
"2011Q3",108.82,111.41,107.04
"2011Q4",105.75,107.61,104.36
"2012Q1",104.6,107.3,102.15
"2012Q2",105.12,108.78,101.3
"2012Q3",105.17,111.89,99.4
"2012Q4",104.63,109.72,100.04
"2013Q1",107.61,111.71,104.3
"2013Q2",114.94,121.58,109.19
"2013Q3",114.83,122.05,108.98
"2013Q4",118.30,126.16,112.45
"2014Q1",123.43,132.34,115.72
"2014Q2",129.07,136.43,123.67

